q1_deg,q2_deg,q3_deg
-25.9824,-1.5264,4.5191
-25.8665,-1.7010,4.5865
-25.7481,-1.7723,4.6913
-25.6318,-1.9483,4.7564
-25.5129,-2.0191,4.8601
-25.3961,-2.0883,4.9615
-25.2768,-2.2626,5.0272
-25.1596,-2.3312,5.1273
-25.0397,-2.4010,5.2291
-24.9221,-2.5750,5.2900
-24.8018,-2.6441,5.3904
-24.6836,-2.7117,5.4886
-24.5629,-2.8841,5.5501
-24.4443,-2.9510,5.6470
-24.3231,-3.0190,5.7456
-24.2040,-3.0853,5.8417
-24.0824,-3.2586,5.8997
-23.9629,-3.3244,5.9945
-23.8408,-3.3912,6.0910
-23.7208,-3.5601,6.1457
-23.5982,-3.6262,6.2408
-23.4778,-3.6908,6.3338
-23.3548,-3.7564,6.4281
-23.2340,-3.8204,6.5201
-23.1105,-3.9913,6.5726
-22.9892,-4.0546,6.6633
-22.8653,-4.1189,6.7555
-22.7435,-4.1817,6.8453
-22.6192,-4.2454,6.9364
-22.4970,-4.3075,7.0252
-22.3722,-4.4745,7.0748
-22.2496,-4.5360,7.1623
-22.1243,-4.5984,7.2512
-22.0013,-4.6593,7.3379
-21.8756,-4.7210,7.4259
-21.7521,-4.7813,7.5115
-21.6260,-4.8424,7.5984
-21.5021,-5.0082,7.6411
-21.3755,-5.0686,7.7266
-21.2512,-5.1276,7.8101
-21.1241,-5.1874,7.8948
-20.9994,-5.2457,7.9773
-20.8720,-5.3048,8.0610
-20.7468,-5.3625,8.1424
-20.6189,-5.4209,8.2250
-20.4933,-5.4778,8.3054
-20.3650,-5.5356,8.3869
-20.2390,-5.5919,8.4662
-20.1103,-5.6489,8.5466
-19.9839,-5.7045,8.6249
-19.8548,-5.7608,8.7043
-19.7279,-5.8157,8.7816
-19.5984,-5.8714,8.8598
-19.4711,-5.9256,8.9360
-19.3412,-5.9805,9.0132
-19.2135,-6.0341,9.0884
-19.0832,-6.0883,9.1645
-18.9551,-6.1411,9.2386
-18.8243,-6.1947,9.3137
-18.6959,-6.2468,9.3867
