    [-5.5795, 61.3138, -18.5859, -26.6322],
    [-5.6760, 61.3180, -18.6004, -26.6322],
    [-5.7696, 61.3221, -18.6148, -26.6322],
    [-5.8631, 61.3263, -18.6294, -26.6322],
    [-5.9595, 61.3307, -18.6447, -26.6322],
    [-6.0530, 61.3350, -18.6598, -26.6322],
    [-6.1465, 61.3395, -18.6751, -26.6322],
    [-6.2427, 61.3441, -18.6911, -26.6322],
    [-6.3361, 61.3486, -18.7069, -26.6322],
    [-6.4295, 61.3532, -18.7229, -26.6322],
    [-6.5257, 61.3581, -18.7397, -26.6322],
    [-6.6190, 61.3628, -18.7563, -26.6322],
    [-6.7122, 61.3677, -18.7730, -26.6322],
    [-6.8083, 61.3727, -18.7905, -26.6322],
    [-6.9015, 61.3777, -18.8078, -26.6322],
    [-6.9946, 61.3828, -18.8253, -26.6322],
    [-7.0906, 61.3881, -18.8435, -26.6322],
    [-7.1837, 61.3933, -18.8615, -26.6322],
    [-7.2767, 61.3985, -18.8797, -26.6322],
    [-7.3725, 61.4040, -18.8987, -26.6322],
    [-7.4655, 61.4094, -18.9174, -26.6322],
    [-7.5584, 61.4149, -18.9363, -26.6322],
    [-7.6541, 61.4207, -18.9561, -26.6322],
    [-7.7469, 61.4263, -18.9755, -26.6322],
    [-7.8397, 61.4320, -18.9952, -26.6322],
    [-7.9353, 61.4380, -19.0157, -26.6322],
    [-8.0280, 61.4438, -19.0358, -26.6322],
    [-8.1207, 61.4497, -19.0562, -26.6322],
    [-8.2161, 61.4559, -19.0775, -26.6322],
    [-8.3087, 61.4620, -19.0983, -26.6322],
    [-8.4013, 61.4682, -19.1194, -26.6322],
    [-8.4966, 61.4746, -19.1414, -26.6322],
    [-8.5890, 61.4809, -19.1630, -26.6322],
    [-8.6814, 61.4872, -19.1849, -26.6322],
    [-8.7766, 61.4939, -19.2076, -26.6322],
    [-8.8689, 61.5004, -19.2299, -26.6322],
    [-8.9612, 61.5070, -19.2525, -26.6322],
    [-9.0562, 61.5139, -19.2760, -26.6322],
    [-9.1484, 61.5206, -19.2991, -26.6322],
    [-9.2405, 61.5275, -19.3224, -26.6322],
    [-9.3353, 61.5346, -19.3466, -26.6322],
    [-9.4274, 61.5415, -19.3704, -26.6322],
    [-9.5193, 61.5486, -19.3944, -26.6322],
    [-9.6141, 61.5559, -19.4194, -26.6322],
    [-9.7059, 61.5631, -19.4439, -26.6322],
    [-9.7978, 61.4373, -19.3327, -26.6322],
    [-9.8923, 61.4449, -19.3586, -26.6322],
    [-9.8923, 61.3078, -19.2189, -26.6322],
    [-9.9840, 61.1823, -19.1089, -26.6322],
    [-9.9840, 61.0495, -18.9742, -26.6322],
    [-9.9840, 60.9128, -18.8356, -26.6322],
    [-9.9840, 60.7802, -18.7015, -26.6322],
    [-9.9840, 60.6477, -18.5678, -26.6322],
    [-9.9840, 60.5113, -18.4303, -26.6322],
    [-9.9840, 60.3790, -18.2972, -26.6322],
    [-9.9840, 60.2469, -18.1645, -26.6322],
    [-9.9840, 60.1108, -18.0281, -26.6322],
    [-9.9840, 59.9788, -17.8960, -26.6322],
    [-9.9840, 59.8469, -17.7643, -26.6322],
    [-9.9840, 59.7112, -17.6289, -26.6322],
    [-9.9840, 59.5795, -17.4979, -26.6322],
    [-9.9840, 59.4479, -17.3672, -26.6322],
    [-9.9840, 59.3124, -17.2328, -26.6322],
    [-9.9840, 59.1810, -17.1028, -26.6322],
    [-9.9840, 59.0497, -16.9730, -26.6322],
    [-9.9840, 58.9145, -16.8397, -26.6322],
    [-9.9840, 58.7834, -16.7106, -26.6322],
    [-9.9840, 58.6524, -16.5819, -26.6322],
    [-9.9840, 58.5175, -16.4495, -26.6322],
    [-9.9840, 58.3866, -16.3215, -26.6322],
