q1_deg,q2_deg,q3_deg,q4_deg
13.7721,-6.3978,16.5342,-84.9261
13.7721,-6.3976,16.5340,-84.9539
13.7721,-6.2916,16.5392,-84.9103
13.7721,-6.2915,16.5390,-84.9389
13.7721,-6.1873,16.5437,-84.8957
13.7721,-6.1871,16.5435,-84.9240
13.8787,-6.0507,16.5065,-84.8838
13.8787,-6.0506,16.5062,-84.8586
13.8787,-5.9459,16.5102,-84.8306
13.8787,-5.9458,16.5101,-84.8548
13.8787,-5.8388,16.5139,-84.8116
13.8787,-5.8387,16.5137,-84.8406
13.8787,-5.7336,16.5171,-84.7967
13.8787,-5.7335,16.5170,-84.8256
13.8787,-5.6260,16.5201,-84.7809
13.8787,-5.6259,16.5199,-84.8105
13.8787,-5.5203,16.5227,-84.7663
13.8787,-5.5202,16.5225,-84.7955
13.8787,-5.4123,16.5250,-84.7505
13.8787,-5.4121,16.5249,-84.7804
13.9831,-5.2769,16.4860,-84.7398
13.9831,-5.2768,16.4856,-84.7145
13.9831,-5.1684,16.4875,-84.6857
13.9831,-5.1683,16.4873,-84.7109
13.9831,-5.0618,16.4888,-84.6674
13.9831,-5.0617,16.4886,-84.6968
13.9831,-4.9529,16.4898,-84.6512
13.9831,-4.9528,16.4896,-84.6817
13.9831,-4.8458,16.4904,-84.6364
13.9831,-4.8457,16.4903,-84.6666
13.9831,-4.7364,16.4908,-84.6206
13.9831,-4.7363,16.4906,-84.6514
13.9831,-4.6289,16.4908,-84.6058
13.9831,-4.6288,16.4906,-84.6363
13.9831,-4.5190,16.4904,-84.5900
13.9831,-4.5189,16.4903,-84.6211
13.9831,-4.4111,16.4898,-84.5753
13.9831,-4.4109,16.4896,-84.6060
13.9831,-4.3007,16.4888,-84.5594
13.9831,-4.3006,16.4887,-84.5908
13.9831,-4.1923,16.4875,-84.5447
13.9831,-4.1922,16.4874,-84.5757
13.9831,-4.0815,16.4859,-84.5289
13.9831,-4.0814,16.4857,-84.5605
13.9831,-3.9727,16.4839,-84.5141
13.9831,-3.9725,16.4838,-84.5454
13.9831,-3.8614,16.4816,-84.4983
13.9831,-3.8613,16.4815,-84.5303
13.9831,-3.7521,16.4790,-84.4836
13.9831,-3.7520,16.4789,-84.5151
13.9831,-3.6404,16.4761,-84.4678
13.9831,-3.6403,16.4759,-84.5000
13.9831,-3.5306,16.4728,-84.4531
13.9831,-3.5305,16.4727,-84.4849
13.9831,-3.4185,16.4692,-84.4373
13.9831,-3.4184,16.4691,-84.4698
13.9831,-3.3083,16.4653,-84.4226
13.9831,-3.3082,16.4652,-84.4547
13.9831,-3.1957,16.4611,-84.4068
13.9831,-3.1956,16.4609,-84.4396
13.9831,-3.0851,16.4565,-84.3921
13.9831,-3.0850,16.4564,-84.4245
13.9831,-2.9720,16.4516,-84.3763
13.9831,-2.9719,16.4514,-84.4094
13.9831,-2.8610,16.4464,-84.3616
13.9831,-2.8609,16.4462,-84.3943
13.9831,-2.7475,16.4408,-84.3458
13.9831,-2.7474,16.4406,-84.3792
13.9831,-2.6360,16.4349,-84.3311
