[q1_deg,q2_deg,q3_deg,q4_deg],
[-14.0363,42.9496,-3.7988,93.1163],
[-14.1738,43.1546,-3.9955,93.1163],
[-14.3083,43.1721,-4.0482,93.1163],
[-14.4454,43.1902,-4.1021,93.1163],
[-14.5797,43.3992,-4.3029,93.1163],
[-14.7164,43.4176,-4.3582,93.1163],
[-14.8503,43.4359,-4.4127,93.1163],
[-14.9868,43.6420,-4.6138,93.1163],
[-15.1203,43.6607,-4.6696,93.1163],
[-15.2564,43.6799,-4.7268,93.1163],
[-15.3897,43.8899,-4.9319,93.1163],
[-15.5254,43.9096,-4.9905,93.1163],
[-15.6583,43.9290,-5.0481,93.1163],
[-15.7936,43.9490,-5.1075,93.1163],
[-15.9262,44.1560,-5.3124,93.1163],
[-16.0612,44.1764,-5.3731,93.1163],
[-16.1934,44.1966,-5.4329,93.1163],
[-16.3280,44.2174,-5.4944,93.1163],
[-16.4599,44.4289,-5.7050,93.1163],
[-16.5942,44.4500,-5.7679,93.1163],
[-16.7256,44.4710,-5.8298,93.1163],
[-16.8595,44.4926,-5.8935,93.1163],
[-16.9906,44.5140,-5.9564,93.1163],
[-17.1242,44.7231,-6.1687,93.1163],
[-17.2549,44.7448,-6.2330,93.1163],
[-17.3880,44.7672,-6.2989,93.1163],
[-17.5184,44.7894,-6.3640,93.1163],
[-17.6512,44.8122,-6.4309,93.1163],
[-17.7811,44.8348,-6.4971,93.1163],
[-17.9135,44.8580,-6.5651,93.1163],
[-18.0431,45.0717,-6.7835,93.1163],
[-18.1751,45.0954,-6.8529,93.1163],
[-18.3043,45.1188,-6.9212,93.1163],
[-18.4359,45.1428,-6.9914,93.1163],
[-18.5647,45.1667,-7.0608,93.1163],
[-18.6959,45.1912,-7.1321,93.1163],
[-18.8243,45.2154,-7.2026,93.1163],
[-18.9551,45.2403,-7.2750,93.1163],
[-19.0832,45.2650,-7.3465,93.1163],
[-19.2135,45.2904,-7.4200,93.1163],
[-19.3412,45.3155,-7.4926,93.1163],
[-19.4712,45.3413,-7.5671,93.1163],
[-19.5984,45.5535,-7.7898,93.1163],
[-19.7279,45.5798,-7.8659,93.1163],
[-19.8548,45.6057,-7.9406,93.1163],
[-19.9839,45.6324,-8.0174,93.1163],
[-20.1103,45.6588,-8.0933,93.1163],
[-20.2390,45.6859,-8.1712,93.1163],
[-20.3650,45.7128,-8.2481,93.1163],
[-20.4933,45.7404,-8.3271,93.1163],
[-20.6189,45.5811,-8.2553,93.1163],
[-20.7468,45.6093,-8.3356,93.1163],
[-20.8720,45.6370,-8.4146,93.1163],
[-20.9994,45.6656,-8.4958,93.1163],
[-21.1241,45.6938,-8.5760,93.1163],
[-21.2512,45.7228,-8.6582,93.1163],
[-21.3755,45.7515,-8.7395,93.1163],
[-21.5021,45.7810,-8.8229,93.1163],
[-21.6260,45.8101,-8.9052,93.1163],
[-21.7521,45.8401,-8.9897,93.1163],
[-21.8756,45.8697,-9.0731,93.1163],
[-22.0013,45.9001,-9.1587,93.1163],
[-22.1243,45.7404,-9.0905,93.1163],
[-22.2496,45.7715,-9.1775,93.1163],
[-22.3722,45.8021,-9.2630,93.1163],
[-22.4970,45.8335,-9.3509,93.1163],
[-22.6192,45.8645,-9.4375,93.1163],
[-22.7435,45.8965,-9.5264,93.1163],
[-22.8653,45.9280,-9.6142,93.1163],
[-22.9892,45.7747,-9.5549,93.1163],
[-23.1105,45.8069,-9.6440,93.1163],
[-23.2340,45.8398,-9.7351,93.1163],
[-23.3548,45.8723,-9.8250,93.1163],
[-23.4778,45.9058,-9.9173,93.1163],
[-23.5982,45.7497,-9.8564,93.1163],
[-23.7208,45.7838,-9.9500,93.1163],
[-23.8407,45.8173,-10.0421,93.1163],
[-23.9629,45.8518,-10.1365,93.1163],
[-24.0824,45.7007,-10.0812,93.1163],
[-24.2040,45.7358,-10.1770,93.1163],
[-24.3231,45.7704,-10.2713,93.1163],
[-24.4443,45.6174,-10.2170,93.1163],
[-24.5629,45.6526,-10.3126,93.1163],
[-24.6836,45.6887,-10.4104,93.1163],
[-24.8018,45.7243,-10.5068,93.1163],
[-24.9221,45.5763,-10.4581,93.1163],
[-25.0397,45.6126,-10.5559,93.1163],
[-25.1596,45.6497,-10.6559,93.1163],
[-25.2768,45.4984,-10.6044,93.1163],
[-25.3961,45.5362,-10.7058,93.1163],
[-25.5129,45.5734,-10.8055,93.1163],
[-25.6318,45.4276,-10.7611,93.1163],
[-25.7481,45.4655,-10.8621,93.1163],
[-25.8665,45.3167,-10.8163,93.1163],
[-25.9824,45.3552,-10.9185,93.1163],
[-26.1004,45.3946,-11.0229,93.1163],
[-26.2157,45.2498,-10.9802,93.1163],
[-26.3332,45.2899,-11.0860,93.1163],
[-26.4482,45.1423,-11.0419,93.1163],
[-26.5652,45.1830,-11.1488,93.1163],
[-26.6819,45.2238,-11.2561,93.1163],
[-26.7962,45.0810,-11.2170,93.1163],
[-26.9125,45.1225,-11.3256,93.1163],
[-27.0262,44.9768,-11.2852,93.1163],
[-27.1421,45.0189,-11.3949,93.1163],
[-27.2554,44.8777,-11.3590,93.1163],
[-27.3707,44.9204,-11.4698,93.1163],
[-27.4836,44.7763,-11.4326,93.1163],
[-27.5984,44.6374,-11.4017,93.1163],
[-27.7108,44.6802,-11.5120,93.1163],
[-27.8252,44.5383,-11.4797,93.1163],
[-27.9371,44.5817,-11.5910,93.1163],
[-28.0510,44.4443,-11.5632,93.1163],
[-28.1625,44.3031,-11.5315,93.1163],
[-28.2759,44.3483,-11.6467,93.1163],
[-28.3869,44.2114,-11.6193,93.1163],
[-28.4999,44.2572,-11.7356,93.1163],
[-28.6104,44.1175,-11.7069,93.1163],
[-28.7229,43.9830,-11.6846,93.1163],
[-28.8329,44.0289,-11.8003,93.1163],
[-28.9449,43.8915,-11.7766,93.1163],
[-29.0545,43.7575,-11.7547,93.1163],
[-29.1660,43.6214,-11.7334,93.1163],
[-29.2751,43.6685,-11.8512,93.1163],
[-29.3862,43.5367,-11.8341,93.1163],
[-29.4948,43.4011,-11.8131,93.1163],
[-29.6054,43.2705,-11.7983,93.1163],
[-29.7135,43.3190,-11.9183,93.1163],
[-29.8236,43.1856,-11.9022,93.1163],
[-29.9313,43.0555,-11.8877,93.1163],
[-30.0409,42.9234,-11.8739,93.1163],
[-30.1481,42.7944,-11.8616,93.1163],
[-30.2573,42.6634,-11.8500,93.1163],
[-30.3640,42.5356,-11.8398,93.1163],
[-30.4727,42.4057,-11.8304,93.1163],
[-30.5790,42.2790,-11.8222,93.1163],
[-30.6871,42.1503,-11.8150,93.1163],
[-30.7929,42.0247,-11.8090,93.1163],
[-30.9006,41.8971,-11.8039,93.1163],
[-31.0060,41.7727,-11.8001,93.1163],
[-31.1132,41.6463,-11.7972,93.1163],
[-31.2181,41.5230,-11.7954,93.1163],
[-31.3248,41.3978,-11.7947,93.1163],
[-31.4292,41.2757,-11.7951,93.1163],
[-31.5355,41.1517,-11.7965,93.1163],
[-31.5354,40.9763,-11.6700,93.1163],
[-31.6394,40.8518,-11.6702,93.1163],
[-31.7452,40.7328,-11.6769,93.1163],
[-31.8487,40.6097,-11.6795,93.1163],
[-31.9540,40.4918,-11.6883,93.1163],
[-31.9539,40.3140,-11.5620,93.1163],
[-32.0570,40.1957,-11.5696,93.1163],
[-32.1618,40.0758,-11.5786,93.1163],
[-32.1617,39.9021,-11.4564,93.1163],
[-32.2643,39.7817,-11.4642,93.1163],
[-32.3687,39.6668,-11.4783,93.1163],
[-32.3686,39.4903,-11.3554,93.1163],
[-32.4708,39.3748,-11.3682,93.1163],
[-32.5746,39.2579,-11.3826,93.1163],
[-32.5745,39.0855,-11.2637,93.1163],
[-32.6762,38.9680,-11.2768,93.1163],
[-32.7796,38.8561,-11.2963,93.1163],
[-32.7795,38.6809,-11.1767,93.1163],
[-32.8808,38.5684,-11.1948,93.1163],
[-32.8806,38.3936,-11.0763,93.1163],
[-32.9837,38.2832,-11.0987,93.1163],
[-32.9836,38.1088,-10.9813,93.1163],
[-33.0844,37.9981,-11.0026,93.1163],
[-33.0842,37.8242,-10.8863,93.1163],
[-33.1868,37.7155,-10.9119,93.1163],
[-33.1867,37.5420,-10.7968,93.1163],
[-33.2870,37.4330,-10.8212,93.1163],
[-33.2869,37.2600,-10.7072,93.1163],
[-33.3890,37.1531,-10.7360,93.1163],
[-33.3889,36.9805,-10.6230,93.1163],
[-33.4887,36.8733,-10.6506,93.1163],
[-33.4886,36.7011,-10.5388,93.1163],
[-33.4886,36.5323,-10.4295,93.1163],
[-33.5902,36.4241,-10.4598,93.1163],
[-33.5901,36.2526,-10.3497,93.1163],
[-33.6895,36.1475,-10.3809,93.1163],
[-33.6894,35.9764,-10.2719,93.1163],
[-33.6894,35.8086,-10.1654,93.1163],
[-33.7906,35.7026,-10.1994,93.1163],
[-33.7904,35.5355,-10.0942,93.1163],
[-33.7904,35.3650,-9.9871,93.1163],
[-33.8894,35.2622,-10.0226,93.1163],
[-33.8893,35.0924,-9.9169,93.1163],
[-33.8893,34.9259,-9.8136,93.1163],
[-33.9899,34.8222,-9.8519,93.1163],
[-33.9898,34.6564,-9.7500,93.1163],
[-33.9898,34.4872,-9.6463,93.1163],
[-34.0883,34.3868,-9.6859,93.1163],
[-34.0882,34.2183,-9.5836,93.1163],
[-34.0882,34.0531,-9.4836,93.1163],
[-34.0882,33.8847,-9.3821,93.1163],
[-34.1884,33.7871,-9.4272,93.1163],
[-34.1883,33.6195,-9.3271,93.1163],
[-34.1883,33.4551,-9.2292,93.1163],
[-34.1883,33.2875,-9.1300,93.1163],
[-34.2863,33.1901,-9.1749,93.1163],
[-34.2862,33.0233,-9.0769,93.1163],
[-34.2862,32.8597,-8.9813,93.1163],
[-34.2862,32.6931,-8.8843,93.1163],
[-34.2862,32.5299,-8.7897,93.1163],
[-34.2862,32.3636,-8.6938,93.1163],
[-34.3859,32.2696,-8.7451,93.1163],
[-34.3858,32.1041,-8.6505,93.1163],
[-34.3858,31.9417,-8.5581,93.1163],
[-34.3858,31.7763,-8.4644,93.1163],
[-34.3858,31.6143,-8.3731,93.1163],
[-34.3858,31.4493,-8.2806,93.1163],
[-34.3858,31.2877,-8.1903,93.1163],
[-34.4833,31.1915,-8.2411,93.1163],
[-34.4832,31.0306,-8.1522,93.1163],
[-34.4832,30.8665,-8.0618,93.1163],
[-34.4832,30.7057,-7.9738,93.1163],
[-34.4832,30.5420,-7.8845,93.1163],
[-34.4832,30.3816,-7.7975,93.1163],
[-34.4832,30.2182,-7.7093,93.1163],
[-34.4832,30.0583,-7.6235,93.1163],
[-34.4832,29.8953,-7.5364,93.1163],
[-34.4832,29.7357,-7.4516,93.1163],
[-34.4832,29.5731,-7.3656,93.1163],
[-34.4832,29.4139,-7.2819,93.1163],
[-34.4832,29.2517,-7.1970,93.1163],
[-34.4832,29.0929,-7.1144,93.1163],
[-34.4832,28.9312,-7.0306,93.1163],
[-34.4832,28.7727,-6.9490,93.1163],
[-34.4832,28.6114,-6.8663,93.1163],
[-34.4832,28.4533,-6.7859,93.1163],
[-34.4832,28.2924,-6.7043,93.1163],
[-34.4832,28.1347,-6.6249,93.1163],
[-34.4832,27.9741,-6.5444,93.1163],
[-34.4832,27.8169,-6.4660,93.1163],
[-34.4832,27.6567,-6.3866,93.1163],
[-34.4832,27.4999,-6.3093,93.1163],
[-34.4832,27.3402,-6.2310,93.1163],
[-34.4832,27.1837,-6.1548,93.1163],
[-34.4832,27.0244,-6.0776,93.1163],
[-34.3859,26.7966,-5.8603,93.1163],
[-34.3858,26.6376,-5.7845,93.1163],
[-34.3858,26.4819,-5.7105,93.1163],
[-34.3858,26.3232,-5.6354,93.1163],
[-34.3858,26.1679,-5.5624,93.1163],
[-34.3858,26.0097,-5.4885,93.1163],
[-34.3858,25.8548,-5.4166,93.1163],
[-34.3858,25.6970,-5.3437,93.1163],
[-34.2863,25.4687,-5.1286,93.1163],
[-34.2862,25.3112,-5.0571,93.1163],
[-34.2862,25.1570,-4.9873,93.1163],
[-34.2862,24.9999,-4.9166,93.1163],
[-34.2862,24.8461,-4.8479,93.1163],
[-34.1884,24.6168,-4.6375,93.1163],
